Industry,Gender,Education,Avg_Salary
"Transport or Logistics",Woman,"College degree",66951.13
Archaeology,Woman,"Master's degree",67000.00
"Real Estate ",Woman,"College degree",67000.00
Training,Woman,"College degree",67000.00
"Food and Beverage",Woman,"College degree",67000.00
"Marketing, Advertising & PR",Man,"Professional degree (MD, JD, etc)",67000.00
Beverage,Woman,"Master's degree",67000.00
"Industrial Supply",Man,"College degree",67000.00
"Biomedical Research",Woman,PhD,67142.50
"Education (Primary/Secondary)",Woman,"Master's degree",67187.03
Entertainment,Other,"College degree",67421.67
"Public Library",Woman,"Professional degree (MD, JD, etc)",67500.00
Fundraising,Woman,"College degree",67500.00
Maritime,Man,"College degree",67580.00
Recruitment,"Prefer not to answer","Master's degree",67600.00
Insurance,"Prefer not to answer","College degree",67666.67
Environmental,Man,"Master's degree",67750.00
Marketing,Non-binary,"College degree",67750.00
"Media & Digital",Non-binary,"College degree",67930.24
Construction,Woman,"College degree",67950.00
CPG,Woman,"College degree",68000.00
"Learning and Development",Woman,PhD,68000.00
"Luxury Fashion",Woman,"Master's degree",68000.00
Unknown,Man,"College degree",68000.00
Indeed,Woman,"College degree",68000.00
"Association Management",Woman,"Master's degree",68000.00
"Diagnostic Medical Devices",Man,"Master's degree",68000.00
"Clinical Research",Man,"College degree",68000.00
Automotive,Woman,"Master's degree",68100.00
Academic,Man,PhD,68200.00
IT,Woman,"College degree",68340.00
"Education (Primary/Secondary)",Woman,"High School",68403.20
Gaming,Woman,"College degree",68500.00
"Art & Design",Woman,"College degree",68579.15
Research,Man,PhD,68630.60
"Commercial Research",Woman,"College degree",68700.00
"Education (Primary/Secondary)",Man,"Master's degree",68810.88
"Project Management",Woman,"College degree",68812.50
"Hospitality & Events",Woman,"Master's degree",68865.54
"Accounting, Banking & Finance",Man,"High School",68871.67
"Art & Design",Man,"College degree",68915.81
Environmental,Woman,"Master's degree",68970.00
"Background Screening",Woman,"College degree",69000.00
Politics,Woman,"College degree",69142.86
Consulting,Woman,"College degree",69166.67
"Public Policy",Woman,"College degree",69177.50
"Government and Public Administration",Other,"College degree",69357.64
"Education (Primary/Secondary)",Woman,"Professional degree (MD, JD, etc)",69368.25
Construction,Woman,"High School",69500.00
"Media & Digital",Non-binary,"Master's degree",69700.00
"Education (Primary/Secondary)",Non-binary,"Professional degree (MD, JD, etc)",69719.00
Marketing,Woman,"College degree",69750.00
"Clinical Research ",Woman,"Master's degree",69800.00
"Property or Construction",Non-binary,"College degree",70000.00
"Federal Contracting",Man,"College degree",70000.00
"Information Services ",Man,"College degree",70000.00
"Property or Construction",Other,"College degree",70000.00
IT,Non-binary,"College degree",70000.00
"Call Centre",Man,"College degree",70000.00
"Chemical Manufacturing",Non-binary,"Master's degree",70000.00
"Fire protection",Woman,"College degree",70000.00
"Craft Beer Industry ",Woman,"College degree",70000.00
"Language Services",Other,"Master's degree",70000.00
"Education (Other)",Non-binary,"Master's degree",70270.00
"Information Services",Woman,"Master's degree",70476.60
"Property or Construction",Woman,"Professional degree (MD, JD, etc)",70500.00
"Education (Primary/Secondary)","Prefer not to answer","Master's degree",70600.00
"Government and Public Administration",Woman,"College degree",70673.48
Energy,"Prefer not to answer","College degree",70720.00
"Health care",Man,"High School",70833.33
"Regulatory Affairs",Woman,"College degree",70980.00
"Life Science",Woman,"Master's degree",71000.00
"Defense Contractor ",Man,"College degree",71000.00
Surveying,Woman,"Master's degree",71000.00
"Renewable Energy",Non-binary,"College degree",71077.00
"Business or Consulting",Man,"Professional degree (MD, JD, etc)",71107.00
Manufacturing,Man,"College degree",71158.67
"Clinical Research",Woman,"College degree",71165.20
"Behavioral Health",Woman,"Master's degree",71208.00
"Marketing, Advertising & PR",Non-binary,"College degree",71485.20
Manufacturing,Man,"Master's degree",71625.00
Sales,Woman,PhD,71666.67
"International Development",Woman,"College degree",71675.00
Nonprofits,Man,"College degree",71679.24
"Cancer Research",Woman,"College degree",71700.00
Law,Other,"College degree",71733.33
"Professional Services",Woman,"College degree",71873.13
Nonprofits,Woman,"Master's degree",71958.83
Gambling,Man,"Master's degree",72000.00
Politics,Other,"College degree",72000.00
"Commercial Real Estate",Woman,"Master's degree",72000.00
"In-House Marketing",Woman,"College degree",72000.00
Faith/spirituality,Woman,"Master's degree",72000.00
"Specialist clothing",Woman,"College degree",72000.00
"Political Campaigns",Man,"College degree",72000.00
Planning,Woman,"College degree",72000.00
"Social Work",Non-binary,"Professional degree (MD, JD, etc)",72000.00
"Pension Benefit Administration",Man,"College degree",72000.00
"Art & Design",Woman,"Master's degree",72034.85
"Science ",Woman,PhD,72333.33
